City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,worthington,1,US,1525254240,93,43.62,-95.6,48.2,9.17
88,wonthaggi,48,AU,1525254861,61,-38.6,145.59,60.41,4.99
89,nuuk,75,GL,1525251000,92,64.17,-51.74,15.8,14.99
90,sao desiderio,0,BR,1525254862,68,-12.36,-44.97,69.14,8.79
91,kodiak,1,US,1525251180,93,39.95,-94.76,62.6,10.29
92,port hardy,40,CA,1525251600,93,50.7,-127.42,39.2,4.7
93,santo augusto,0,BR,1525254862,80,-27.85,-53.78,67.34,7.11
94,sao filipe,24,CV,1525254445,96,14.9,-24.5,70.76,18.41
95,nueva concepcion,0,GT,1525254863,84,14.2,-91.3,65.81,2.3
96,ilhabela,92,BR,1525254571,100,-23.78,-45.36,74.0,0.74
97,watsa,0,CD,1525254863,75,3.04,29.53,85.25,3.98
98,tazovskiy,8,RU,1525254524,96,67.47,78.7,11.36,16.17
99,woodward,1,US,1525253700,77,36.43,-99.39,69.8,23.04
100,thinadhoo,48,MV,1525254864,97,0.53,72.93,85.88,14.16
101,zhigansk,92,RU,1525254491,94,66.77,123.37,40.79,9.57
102,payyannur,12,IN,1525254865,99,12.1,75.2,85.88,10.8
103,sturgeon falls,75,CA,1525251600,66,46.36,-79.93,53.6,12.75
104,new norfolk,0,AU,1525251600,55,-42.78,147.06,62.6,3.36
105,chapais,90,CA,1525251600,81,49.78,-74.86,44.6,5.82
106,fontenay-le-comte,90,FR,1525253400,76,46.47,-0.81,53.6,11.41
107,atuona,76,PF,1525254465,99,-9.8,-139.03,81.29,12.26
108,barrow,8,AR,1525254473,89,-38.31,-60.23,41.6,4.09
109,kiruna,90,SE,1525252800,74,67.86,20.23,35.6,6.93
110,yellowknife,20,CA,1525251600,74,62.45,-114.38,33.8,11.41
111,srednekolymsk,0,RU,1525254867,55,67.46,153.71,32.42,2.98
112,kultuk,36,RU,1525254867,52,51.73,103.71,60.68,5.99
113,hibbing,90,US,1525253700,86,47.43,-92.94,41.0,3.98
114,san patricio,8,PY,1525254480,73,-26.98,-56.83,72.38,3.65
115,san-pedro,0,CI,1525254473,87,4.75,-6.64,83.36,7.78
116,galle,75,US,1525252980,94,29.74,-97.91,73.4,9.17
117,simao,100,CN,1525254868,99,22.76,100.79,61.76,2.53
118,vagur,76,FO,1525254869,100,61.47,-6.81,42.95,10.47
119,oktyabrskoye,0,RU,1525254869,50,56.73,85.44,44.48,3.65
120,marivan,0,IR,1525254869,47,35.52,46.18,71.03,2.64
121,chalmette,1,US,1525253700,83,29.94,-89.96,71.6,4.7
122,nyurba,36,RU,1525254566,45,63.29,118.35,57.08,10.02
